Request,Exception
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=8571, locationType=STR, postalCd=95648, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Wed Jun 02 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=1061, locationType=STR, postalCd=90056, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=2551, locationType=STR, postalCd=20904, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Wed Jun 02 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=2665, locationType=STR, postalCd=02492, mVndrNbrs=[60071986, 60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=3817, locationType=STR, postalCd=44130, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=3634, locationType=STR, postalCd=27615, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Wed Jun 02 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=2668, locationType=STR, postalCd=01810, mVndrNbrs=[60497693], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=6689, locationType=STR, postalCd=90065, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=6966, locationType=STR, postalCd=95821, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Wed Jun 02 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=4909, locationType=STR, postalCd=53593, mVndrNbrs=[60497693], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=273, locationType=STR, postalCd=34293, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=2806, locationType=STR, postalCd=55410, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Wed Jun 02 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=6548, locationType=STR, postalCd=76248, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=213, locationType=STR, postalCd=32960, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=6689, locationType=STR, postalCd=90065, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=1061, locationType=STR, postalCd=90056, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=2213, locationType=STR, postalCd=66218, mVndrNbrs=[60497693], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=6661, locationType=STR, postalCd=91335, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=615, locationType=STR, postalCd=92806, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=255, locationType=STR, postalCd=34232, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=2216, locationType=STR, postalCd=66048, mVndrNbrs=[60497693], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=6656, locationType=STR, postalCd=92078, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=3817, locationType=STR, postalCd=44130, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=4112, locationType=STR, postalCd=19012, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=417, locationType=STR, postalCd=85249, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Wed Jun 02 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=3817, locationType=STR, postalCd=44130, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=2551, locationType=STR, postalCd=20904, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Wed Jun 02 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=6661, locationType=STR, postalCd=91335, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=3817, locationType=STR, postalCd=44130, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=4112, locationType=STR, postalCd=19012, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=6548, locationType=STR, postalCd=76248, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=3661, locationType=STR, postalCd=27541, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Wed Jun 02 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=4706, locationType=STR, postalCd=98133, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Wed Jun 02 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=3662, locationType=STR, postalCd=28278, mVndrNbrs=[60497693], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=6661, locationType=STR, postalCd=91335, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=3661, locationType=STR, postalCd=27541, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Wed Jun 02 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=6816, locationType=STR, postalCd=75211, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=4706, locationType=STR, postalCd=98133, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Wed Jun 02 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=213, locationType=STR, postalCd=32960, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=283, locationType=STR, postalCd=34949, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=6656, locationType=STR, postalCd=92078, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=417, locationType=STR, postalCd=85249, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=6377, locationType=STR, postalCd=32459, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=8571, locationType=STR, postalCd=95648, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Wed Jun 02 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=684, locationType=STR, postalCd=90604, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=4706, locationType=STR, postalCd=98133, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Wed Jun 02 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=2216, locationType=STR, postalCd=66048, mVndrNbrs=[60497693], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Wed Jun 02 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=6331, locationType=STR, postalCd=32828, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=4745, locationType=STR, postalCd=98258, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=1856, locationType=STR, postalCd=30542, mVndrNbrs=[60292562, 60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Thu Jun 03 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=6661, locationType=STR, postalCd=91335, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=4605, locationType=STR, postalCd=22043, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Wed Jun 02 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=2213, locationType=STR, postalCd=66218, mVndrNbrs=[60497693], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Wed Jun 02 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=8571, locationType=STR, postalCd=95648, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Wed Jun 02 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=2306, locationType=STR, postalCd=41035, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 08 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=3662, locationType=STR, postalCd=28278, mVndrNbrs=[60497693], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=2306, locationType=STR, postalCd=41035, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 08 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=3817, locationType=STR, postalCd=44130, mVndrNbrs=[60292562], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
"[DlvrySlotRequestDTO [userId=ONLINE, locationId=6689, locationType=STR, postalCd=90065, mVndrNbrs=[60071986], requiredSlots=1, userName=Appliances_OnLine, deliveryDate=Tue Jun 01 00:00:00 EDT 2021, orderSrc=null]]",10030:Insufficient delivery slots for reservationgetDeliverySlots(): returns empty DeliverySlot or the available slot is less than the required slots
